scenario_group,valve_context,thickness_mm,pore_index_0_1,degradation_half_life_months,material_risk_index_0_1,morphology_index_0_1,target_gradient_mmHg,predicted_gradient_mmHg,effective_orifice_area_cm2,residual_Mw_12m_percent,integration_12m_index_0_1,region_specificity_hinge_belly_ratio,regurgitation_fraction_percent,failure_risk_0_1,objective_score,feasible,result_type
biology_only,aortic_high_pressure,0.6352956277760042,0.6710555144573994,65.70239511851366,0.09485494384670284,0.8683486637145631,32.75,36.33246171415179,2.1374357489193736,92.33807423691185,0.8539058732776645,4.123270870169742,10.38826879662669,0.08700090270224792,0.5970856706357052,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.4857289372099735,0.8395759724797301,60.25877369849151,0.2289763135989811,0.598369751710661,32.75,28.433965140101982,2.4504548625116924,86.38095419871517,0.8580094736994206,5.609825665586954,7.546491137073326,0.044772664319997164,0.5970762293819483,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6487336731809341,0.8168712647160009,72.98761328175837,0.05073257434183709,0.36952350834197284,32.75,37.9094876543289,2.1937367298015857,93.20224457792027,0.8234757468894073,3.003624196752667,8.37705439570309,0.026910629046397714,0.5960413908972241,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5748557332673205,0.5241148652937606,65.23479868230629,0.045099522344262365,0.6958436801487969,32.75,34.19151342163282,2.2307591849850734,87.99569202617904,0.8151481218219194,3.749800313404571,12.149532703746985,0.046632329861504236,0.5959414002566299,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5364497315745912,0.7827692397041615,70.83592483432153,0.1663361738047505,0.6974837207333507,32.75,27.67429126096379,2.434484315483435,86.87798358562645,0.8466858295672303,6.196171925261713,11.802123678659685,0.03805609067866481,0.5957187494798492,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.617561935742247,0.6825837250110084,65.47987073925967,0.01926775584240871,0.8039765207343906,32.75,35.502758380246775,2.312543582942537,88.95978029379738,0.8075921174373665,5.509098271781212,8.795252465186282,0.05363982386696743,0.5947332377935604,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5786156574782628,0.7489626435739863,65.60726166865682,0.046893301898091835,0.6679857665057474,32.75,30.74951950549511,2.4648010277303416,87.52823509694355,0.7920046635231057,2.931856007803378,6.146077012987268,0.04910120432114049,0.5944951715321286,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.5654108019580338,0.8409252763966183,55.66211836508902,0.12752195046374862,0.5375916059362572,32.75,29.060267713373996,2.28250405139006,83.44231488171675,0.8683789997879134,2.376048602649936,10.023095216917914,0.0713535333719272,0.5939025981383858,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.48274993493468543,0.5366939961840586,70.12405533067314,0.025958190849942157,0.7214933756322813,32.75,29.13685161050828,2.339669910632582,87.71688816369301,0.8144487230866986,4.347049806495504,7.729676938032819,0.04930332948524628,0.5937381529373907,1,scenario_model_generated_from_literature_calibrated_priors
hydrodynamic_only,aortic_high_pressure,0.5542670388723027,0.8387000361264997,46.00773778073067,0.2381530233921748,0.614157398723009,32.75,28.632279010987137,2.5003988169367255,85.03503631198647,0.8457245155874386,2.8304506600613695,10.391288861414452,0.033907354671215584,0.59372205150487,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.6109061842782372,0.8507592548934999,68.05775616436887,0.07916727446675345,0.6845019488343121,32.75,35.20476487791558,2.286131736670356,85.96921845176033,0.8226031947242097,6.6547858049886885,11.803420836417086,0.03892334158117208,0.592988846889233,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.4705787491932176,0.6167955970502017,54.09816301309178,0.268723946074657,0.5334162500435765,32.75,32.23602082883553,2.4148217570657673,87.45668402770264,0.8340712217784801,5.914881613038826,10.343017880293463,0.07727700540630854,0.592727513239904,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.7221518992073181,0.8248337218563087,59.529195556365956,0.08816827145708876,0.6506304803989227,32.75,37.17760278663745,2.0155031362817297,88.12262714177538,0.8663041968093607,3.677421169112142,6.241403264055159,0.046298051317905084,0.5925592210156293,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.5595442188722632,0.9492614916130759,57.18846459038645,0.40659306980964355,0.7615686075780703,32.75,29.496435696811773,2.4974061731466874,85.11611646761585,0.8842592523952045,6.529695189915431,10.60298111645263,0.07861501487726803,0.5924408993511131,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.45916348291965503,0.6855741348946649,69.2400927270996,0.007470529257284058,0.5324784555325753,32.75,27.159748052729025,2.4780145301043275,88.23675095409388,0.8083941184946606,3.383699170449785,10.872835393238715,0.05507675203414924,0.5923591194106316,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6196310337003309,0.7462147502463556,63.55350704207134,0.23771515288955716,0.7716681753859702,32.75,32.78681624762882,2.1871081769186715,85.53701663863663,0.8505134404057507,5.226029546041575,11.34514858429071,0.057661390585804155,0.5921597498130485,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6476020649325933,0.9549099720733335,53.12645080260383,0.08010858714692073,0.8326344160517986,32.75,33.69213476342111,2.3157005406227653,86.59535767218618,0.8005463149223101,4.634640296999809,6.946534678163299,0.042114726422057575,0.5912869830660911,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5972718386048191,0.7698330236376529,67.80365867889368,0.2822845782385919,0.635962431334421,32.75,33.0275804247097,2.400802491695142,86.33896145128689,0.8334913744088208,6.023930454174044,9.072648482635628,0.07005276200798868,0.5907083356893236,1,scenario_model_generated_from_literature_calibrated_priors
